storenum,OPENDATE,address,lat,long
1,7/1/1962,"2110 WEST WALNUT,Rogers,AR,72756",36.332031,-94.149051
2,8/1/1964,"1417 HWY 62/65 N,Harrison,AR,72601",36.2665895,-93.1394835
3,4/12/1988,"30983 HWY 441 SOUTH,Commerce,GA,30529",34.2484169,-83.4598379
4,8/1/1965,"2901 HWY 412 EAST,Siloam Springs,AR,72761",36.183175,-94.512615
5,5/1/1972,"1155 HWY 65 NORTH,Conway,AR,72032",35.1086464,-92.4369037
7,10/1/1967,"3801 CAMP ROBINSON RD.,North Little Rock,AR,72118",34.7910574,-92.2768097
8,10/1/1967,"1621 NORTH BUSINESS 9,Morrilton,AR,72110",35.168882,-92.726186
9,3/1/1968,"1303 SOUTH MAIN,Sikeston,MO,63801",36.8954259,-89.5950968
10,7/1/1968,"2020 SOUTH MUSKOGEE,Tahlequah,OK,74464",35.8887523,-94.9799735
11,3/1/1968,"65 WAL-MART DRIVE,Mountain Home,AR,72653",36.3353949,-92.381346
12,7/1/1968,"1500 LYNN RIGGS BLVD,Claremore,OK,74017",36.2946713,-95.6295787
13,11/1/1968,"2705 GRAND AVE,Carthage,MO,64836",37.1403181,-94.3105744
14,4/1/1969,"1800 S JEFFERSON,Lebanon,MO,65536",37.6635401,-92.6463991
15,5/1/1969,"1310 PREACHER RD/HGWY 160,West Plains,MO,65775",36.7281154,-91.8523711
16,4/1/1969,"2214 FAYETTEVILLE RD,Van Buren,AR,72956",35.4691596,-94.3533552
17,5/1/1969,"3200 LUSK DRIVE,Neosho,MO,64850",36.8390699,-94.3969434
18,11/1/1969,"2500 MALCOLM ST/HWY 67 NORTH,Newport,AR,72112",35.6048018,-91.2817951
19,4/3/1990,"333 S WESTWOOD,Poplar Bluff,MO,63901",36.7551339,-90.4085018
20,10/1/1970,"1712 EAST OHIO,Clinton,MO,64735",38.3661668,-93.7490658
21,3/1/1970,"185 ST ROBERT BLVD,St. Robert,MO,65584",37.8250379,-92.1528163
22,10/1/1970,"4901 SO. MILL ROAD,Pryor,OK,74361",36.3001554,-95.3213719
23,11/1/1970,"1201 N SERVICE ROAD EAST,Ruston,LA,71270",32.5232053,-92.637927
24,4/1/1971,"2000 JOHN HARDEN DR,Jacksonville,AR,72076",34.885328,-92.111429
25,2/1/1971,"4820 SO. CLARK ST,Mexico,MO,65265",39.1202574,-91.8936304
26,11/1/1970,"3450 S. 4TH TRAFFICWAY,Leavenworth,KS,66048",39.3111112,-94.9224637
27,2/1/1971,"1101 HWY 32 WEST,Salem,MO,65560",37.6360667,-91.5460929
28,5/1/1971,"2415 N.W. MAIN ST,Miami,OK,74354",36.904532,-94.879752
29,8/1/1971,"724 STADIUM WEST BLVD,Jefferson City,MO,65109",38.580051,-92.218807
30,11/1/1971,"2025 BUS. HWY 60 WEST,Dexter,MO,63841",36.7958866,-89.9578688
31,6/1/1971,"3108 N BROADWAY,Poteau,OK,74953",35.0730038,-94.6289229
32,6/1/1971,"2050 WEST HWY 76,Branson,MO,65616",36.6408141,-93.2598601
33,6/1/1971,"1710 SO. 4TH ST,Nashville,AR,71852",33.9276125,-93.8513438
34,11/1/1971,"2250 LINCOLN AVENUE,Nevada,MO,64772",37.8323338,-94.3266724
35,10/1/1971,"101 EAST BLUEMONT AVENUE,Manhattan,KS,66502",39.18853,-96.556228
36,11/1/1971,"2802 WEST KINGS HIGHWAY,Paragould,AR,72450",36.0599043,-90.5230516
37,9/1/1971,"701 WALTON DRIVE,Farmington,MO,63640",37.7886084,-90.4342813
38,12/9/1971,"1907 SE WASHINGTON ST.,Idabel,OK,74745",33.8955349,-94.8007445
39,3/1/1972,"2400 SOUTH MAIN,Fort Scott,KS,66701",37.8103008,-94.7053968
40,11/1/1971,"1301 HWY 24 EAST,Moberly,MO,65270",39.4474004,-92.4203233
41,5/1/1972,"4000 GREEN COUNTRY RD,Bartlesville,OK,74006",36.7398621,-95.933243
42,2/1/1973,"1705 WEST 11TH STREET,Coffeyville,KS,67337",37.0332554,-95.6430641
43,5/1/1972,"521 EAST CHESTNUT ST,Junction City,KS,66441",39.0190778,-96.8206343
44,2/1/1972,"1802 SOUTH BUSINESS HWY 54,Eldon,MO,65026",38.3483636,-92.5815759
45,8/1/1972,"1815 EAST HIGHLAND DRIVE,Jonesboro,AR,72401",35.819631,-90.685407
46,8/1/1972,"2451 S. SPRINGFIELD,Bolivar,MO,65613",37.5918505,-93.4034657
47,7/1/1972,"1101 WEST RUTH AVE,Sallisaw,OK,74955",35.4506285,-94.8019159
48,11/1/1972,"885 HIGHWAY 60,Monett,MO,65708",36.9280983,-93.8876788
62,11/1/1972,"3700 EAST HWY 18,Blytheville,AR,72315",35.930755,-89.872021
63,9/1/1973,"410 SOUTH DEWEY,Wagoner,OK,74467",35.9573471,-95.3952015
64,2/1/1973,"100 SOUTH DUPREE,Brownsville,TN,38012",35.590743,-89.2395559
65,7/3/1973,"350 PARKRIDGE ROAD,Sullivan,MO,63080",38.2211603,-91.1578658
66,8/1/1973,"1230 MARKET STREET,Clarksville,AR,72830",35.4480324,-93.4566619
67,7/1/1973,"600 HWY 71 NORTH,Mena,AR,71953",34.5818092,-94.2366058
68,8/1/1973,"800 HWY 64 EAST,Wynne,AR,72396",35.2532069,-90.7774994
69,12/1/1973,"650 SOUTH TRUMAN BLVD,Festus,MO,63028",38.2128902,-90.3907102
70,7/1/1974,"798 WEST SERVICE ROAD,West Memphis,AR,72301",35.167739,-90.199513
71,11/1/1973,"1415 HWY 67 SOUTH,Pocahontas,AR,72455",36.248835,-90.963444
77,10/30/1979,"3701 NORTH MAIN ST.,Taylor,TX,76574",30.5994673,-97.4160411
78,9/1/1973,"1331 SPUR DR/ BUS. RT US HWY66,Marshfield,MO,65706",37.338658,-92.9071209
79,4/1/1974,"2623 WEST 7TH STREET,Joplin,MO,64801",37.0846369,-94.5465315
80,6/1/1973,"401 N STADIUM BL/BISCAYNE MALL,Columbia,MO,65201",38.9517053,-92.3340724
81,6/1/1973,"ROUTE 6 BOX 1895,Stilwell,OK,74960",35.81453,-94.6285553
82,4/1/1974,"1750 S. PERRYVILLE,Perryville,MO,63775",37.7057476,-89.8958624
83,8/1/1974,"60 79-BYPASS NORTH,Magnolia,AR,71753",33.2453582,-93.229972
84,5/1/1974,"PINECREST PLAZA SHOPPING CTR,Brinkley,AR,72021",36.0794659,-79.456664
